;speed;Arr;Dep;Approx_enter;Label;Shunting;Turnaround_time_minutes
####;;;;;;;
KS - Os;;;;;;;
94766;;;;;;;
S5;;;;;;;
from Zwardoń;;;;;;;
"""Kob-Ty-6"", ""SBL+Sem(ST)"", 2, ""6"", ""(6)""";R;;;;;;
"""Ty"", ""ST"", 2, ""(2)""";R;15:46;15:47;;;;
"""Ty"", ""ST"", 102, ""(N/A)""";R;;;;;;
"""Ty-Mc"", ""Sem(odstep)"", 2, ""1"", ""(1)""";R;;;;;;
"""Mc"", ""PODG"", 2, ""(N/A)""";R;;;;;;
"""Mc-KL-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""Mc-KL-2"", ""SBL+PO(Podlesie)"", 2, ""2"", ""(5)""";R;15:51;15:51;;Katowice Podlesie;;
"""Mc-KL-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""Mc-KL-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""Mc-KL-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;15:54;15:54;;Katowice Piotrowice;;
"""KL"", ""ST"", 2, ""(2)""";R;15:57;15:57;;Katowice Ligota;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;16:00;16:00;;Katowice Brynów;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";R;;;;;;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;16:04;;;Katowice;;
"""KO"", ""ST-M"", 1114, ""(N/A)""";R;;;16:07;;Y;
terminates in Katowice;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
26103;;;;;;;
BOLKO;;;;;;;
from Lublin Główny;;;;;;;
"""SG-KZ"", ""SBL"", 1, ""3"", ""(3)""";IC;;;;;;
"""KZ"", ""ST"", 1, ""(1)""";IC;;;16:00;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";IC;;;;;;
"""KO"", ""ST"", 117, ""(N/A)""";IC;;;;;;
"""KO"", ""ST"", 7, ""(1)""";IC;16:04;16:11;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";IC;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";IC;;;;;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";IC;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";IC;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;16:17;16:17;;Chorz�w Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";IC;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";IC;;;;;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";IC;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";IC;;;;;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";IC;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";IC;;;;;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";IC;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";IC;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";IC;16:27;16:27;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";IC;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";IC;;;;;;
"""ZZ-GLC-3"", ""SBL"", 1, ""3"", ""(5)""";IC;;;;;;
"""ZZ-GLC-4"", ""SBL"", 1, ""4"", ""(5)""";IC;;;;;;
"""ZZ-GLC-5"", ""SBL+Sem(ST)"", 1, ""5"", ""(5)""";IC;;;;;;
"""GLC"", ""ST"", 9, ""(4)""";IC;16:34;16:36;;Gliwice;;
"""GLC-Szo"", ""Sem(odstep)"", 1, ""1"", ""(1)""";IC;;;;;;
to Wrocław Główny;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
421009;;;;;;;
SZTYGAR;;;;;;;
from Katowice IC;;;;;;;
"""KO(IC)"", ""B-M"", 500, ""(N/A)""";R;;;15:50;;Y;
"""KO"", ""ST"", 114, ""(N/A)""";R;;;;;Y;
"""KO"", ""ST"", 2, ""(3)""";R;;;15:55;Katowice;Y;
to Katowice platforms;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
42100;;;;;;;
SZTYGAR;;;;;;;
from Katowice;;;;;;;
"""KO"", ""ST"", 2, ""(3)""";IC;;16:08;;Katowice;;5
"""KO"", ""ST"", 114, ""(N/A)""";IC;;;;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";IC;;;;;;
"""KZ"", ""ST"", 2, ""(1)""";IC;;;16:12;;;
"""KZ-SG"", ""SBL+Sem(ST)"", 2, ""1"", ""(3)""";IC;;;;;;
to Lublin Główny;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
5312;;;;;;;
PIAST;;;;;;;
from Gdynia Główna via Wrocław;;;;;;;
"""Szo-GLC"", ""SBL(odstep)"", 2, ""1"", ""(1)""";IC;;;;;;
"""GLC"", ""ST"", 4, ""(1)""";IC;15:34;15:42;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";IC;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";IC;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";IC;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";IC;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";IC;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";IC;15:50;15:50;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";IC;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";IC;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";IC;;;;;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";IC;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";IC;;;;;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";IC;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";IC;;;;;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";IC;;;;;;
"""CB"", ""ST"", 2, ""(1)""";IC;;;;;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";IC;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";IC;;;;;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KO"", ""ST"", 4, ""(3)""";IC;16:06;16:09;;Katowice;;
"""KO"", ""ST"", 114, ""(N/A)""";IC;;;;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";IC;;;;;;
"""KZ"", ""ST"", 4, ""(2)""";IC;;;16:13;;;
"""KZ-Szb-1"", ""SBL+Sem(ST)"", 4, ""1"", ""(3)""";IC;;;;;;
to Kraków Główny;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
40518;;;;;;;
S4;;;;;;;
from Tychy Lodowisko;;;;;;;
"""TMo-Ty"", ""Sem(odstęp)"", 2, ""1"", ""(1)""";R;;;;;;
"""Ty"", ""ST"", 2, ""(2)""";R;15:44;15:51;;Tychy;;
"""Ty"", ""ST"", 102, ""(N/A)""";R;;;;;;
"""Ty-Mc"", ""Sem(odstep)"", 2, ""1"", ""(1)""";R;;;;;;
"""Mc"", ""PODG"", 2, ""(N/A)""";R;;;;;;
"""Mc-KL-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""Mc-KL-2"", ""SBL+PO(Podlesie)"", 2, ""2"", ""(5)""";R;15:57;15:57;;Katowice Podlesie;;
"""Mc-KL-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""Mc-KL-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""Mc-KL-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;16:00;16:00;;Katowice Piotrowice;;
"""KL"", ""ST"", 2, ""(2)""";R;16:02;16:03;;Katowice Ligota;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";R;16:06;16:06;;Katowice Brynów;;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;16:09;;;Katowice;;
"""KO"", ""ST-M"", 1113, ""(N/A)""";R;;;16:12;;Y;
terminates in Katowice;;;;;;;
####;;;;;;;
PR - R;;;;;;;
34319;;;;;;;
No name;;;;;;;
from Kraków Główny;;;;;;;
"""Szb-KZ-3"", ""SBL"", 3, ""2"", ""(2)""";R;;;;;;
"""KZ"", ""ST"", 3, ""(2)""";R;16:10;16:10;;Katowice Zawodzie;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";R;;;;;;
"""KO"", ""ST"", 114, ""(N/A)""";R;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;16:14;;;Katowice;;
to Katowice;;;;;;;
####;;;;;;;
PR - R;;;;;;;
343199;;;;;;;
No name;;;;;;;
from Katowice platforms;;;;;;;
"""KO"", ""ST"", 8, ""(4)""";R;;;16:14;Katowice;Y;5
"""KO"", ""ST-M"", 1118, ""(N/A)""";R;;;16:22;;Y;
to Katowice STM;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
14006;;;;;;;
SILESIA;;;;;;;
from Warszawa Wschodnia;;;;;;;
"""SG-KZ"", ""SBL"", 1, ""3"", ""(3)""";IC;;;;;;
"""KZ"", ""ST"", 1, ""(1)""";IC;;;16:06;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";IC;;;;;;
"""KO"", ""ST"", 117, ""(N/A)""";IC;;;;;;
"""KO"", ""ST"", 9, ""(1)""";IC;16:10;16:19;;Katowice;;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";IC;;;;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";IC;;;;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";IC;;;;;;
"""KL"", ""ST"", 1, ""(2)""";IC;;;;;;
"""Mc-KL-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";IC;;;;;;
"""Mc-KL-4"", ""SBL"", 2, ""4"", ""(5)""";IC;;;;;;
"""Mc-KL-3"", ""SBL"", 2, ""3"", ""(5)""";IC;;;;;;
"""Mc-KL-2"", ""SBL+PO(Podlesie)"", 2, ""2"", ""(5)""";IC;;;;;;
"""Mc-KL-1"", ""SBL"", 2, ""1"", ""(5)""";IC;;;;;;
"""Mc"", ""PODG"", 2, ""(N/A)""";IC;;;;;;
"""Ty-Mc"", ""Sem(odstep)"", 2, ""1"", ""(1)""";IC;;;;;;
"""Ty"", ""ST"", 102, ""(N/A)""";IC;;;;;;
"""Ty"", ""ST"", 9, ""(3)""";IC;16:33;16:34;;Tychy;;
"""Ty-ŁŚ"", ""Sem(odstep)"", 1, ""1"", ""(1)""";IC;;;;;;
to Praha Hlavni Nadrazi;;;;;;;
####;;;;;;;
KS - OsP;;;;;;;
94611;;;;;;;
S6;;;;;;;
departs from Katowice;;;;;;;
"""Rac(KS)"", ""B-M"", 200, ""(N/A)""";R;;;15:55;;Y;
"""KO"", ""ST"", 1, ""(2)""";R;;16:12;;Katowice;;5
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";R;;;;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";R;;;;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""KL"", ""ST"", 1, ""(2)""";R;16:17;16:18;;Katowice Ligota;;
"""Mc-KL-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;16:21;16:21;;Katowice Piotrowice;;
"""Mc-KL-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""Mc-KL-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""Mc-KL-2"", ""SBL+PO(Podlesie)"", 2, ""2"", ""(5)""";IC;;;;;;
"""Mc-KL-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""Mc"", ""PODG"", 2, ""(N/A)""";R;;;;;;
"""Ty-Mc"", ""Sem(odstep)"", 2, ""1"", ""(1)""";R;;;;;;
"""Ty"", ""ST"", 102, ""(N/A)""";R;;;;;;
"""Ty"", ""ST"", 1, ""(2)""";R;16:27;16:28;;Tychy;;
"""Ty-Kob-1"", ""SBL"", 1, ""1"", ""(6)""";R;;;;;;
to Wisła Głębce;;;;;;;
####;;;;;;;
KS - OsP;;;;;;;
40150;;;;;;;
S1 KARLIK;;;;;;;
from Gliwice;;;;;;;
"""GLC"", ""ST"", 6, ""(2)""";R;;15:49;;Gliwice;;
"""GLC-ZZ-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""GLC-ZZ-2"", ""SBL"", 2, ""2"", ""(5)""";R;;;;;;
"""GLC-ZZ-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""GLC-ZZ-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""GLC-ZZ-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;;;;;;
"""ZZ"", ""ST"", 2, ""(1)""";R;15:56;15:56;;Zabrze;;
"""ZZ-RCB-1"", ""SBL"", 2, ""1"", ""(4)""";R;;;;;;
"""ZZ-RCB-2"", ""SBL"", 2, ""2"", ""(4)""";R;;;;;;
"""ZZ-RCB-3"", ""SBL+PO(Ruda Śląska)"", 2, ""3"", ""(4)""";R;16:01;16:01;;Ruda Slaska;;
"""ZZ-RCB-4"", ""SBL+Sem(ST)"", 2, ""4"", ""(4)""";R;;;;;;
"""RCB"", ""ST"", 2, ""(1)""";R;16:03;16:03;;Ruda Chebzie;;
"""RCB-CB-1"", ""SBL"", 2, ""1"", ""(3)""";R;;;;;;
"""RCB-CB-2"", ""SBL+PO(Świętochłowice)"", 2, ""2"", ""(3)""";R;16:06;16:06;;Swietochlowice;;
"""RCB-CB-3"", ""SBL+Sem(ST)"", 2, ""3"", ""(3)""";R;;;;;;
"""CB"", ""ST"", 2, ""(1)""";R;16:10;16:10;;Chorzów Batory;;
"""CB-KTC-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""CB-KTC-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";R;;;;;;
"""KTC-KO-1"", ""SBL+PO(Załęże)"", 2, ""1"", ""(2)""";R;16:13;16:13;;Katowice Załęże;;
"""KTC-KO-2"", ""SBL+Sem(ST)"", 2, ""2"", ""(2)""";R;;;;;;
"""KO"", ""ST"", 4, ""(3)""";R;16:16;16:18;;Katowice;;
"""KO"", ""ST"", 114, ""(N/A)""";R;;;;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";R;;;;;;
"""KZ"", ""ST"", 2, ""(1)""";R;16:26;16:26;;Katowice Zawodzie;;
"""KZ-SG"", ""SBL+Sem(ST)"", 2, ""1"", ""(3)""";R;;;;;;
to Częstochowa;;;;;;;
####;;;;;;;
IC - IC;;;;;;;
41004;;;;;;;
BATHORY;;;;;;;
from Budapest-Nyugati;;;;;;;
"""Ty-ŁŚ"", ""Sem(odstep)"", 1, ""1"", ""(1)""";IC;;;;;;
"""Ty"", ""ST"", 7, ""(3)""";IC;16:00;16:01;;;;
"""Ty"", ""ST"", 102, ""(N/A)""";IC;;;;;;
"""Ty-Mc"", ""Sem(odstep)"", 2, ""1"", ""(1)""";IC;;;;;;
"""Mc"", ""PODG"", 2, ""(N/A)""";IC;;;;;;
"""Mc-KL-1"", ""SBL"", 2, ""1"", ""(5)""";IC;;;;;;
"""Mc-KL-2"", ""SBL+PO(Podlesie)"", 2, ""2"", ""(5)""";IC;;;;;;
"""Mc-KL-3"", ""SBL"", 2, ""3"", ""(5)""";IC;;;;;;
"""Mc-KL-4"", ""SBL"", 2, ""4"", ""(5)""";IC;;;;;;
"""Mc-KL-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";IC;;;;;;
"""KL"", ""ST"", 2, ""(2)""";IC;;;;;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";IC;;;;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";IC;;;;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";IC;;;;;;
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";IC;;;;;;
"""KO"", ""ST"", 10, ""(4)""";IC;16:15;16:25;;Katowice;;
"""KO"", ""ST"", 118, ""(N/A)""";IC;;;;;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";IC;;;;;;
"""KZ"", ""ST"", 2, ""(1)""";IC;;;16:29;;;
"""KZ-SG"", ""SBL+Sem(ST)"", 2, ""1"", ""(3)""";IC;;;;;;
to Brest-Centralnyi;;;;;;;
####;;;;;;;
KS - OsP;;;;;;;
94113;;;;;;;
S5 SPRINTER;;;;;;;
departs from Katowice;;;;;;;
"""Rac(KS)"", ""B-M"", 200, ""(N/A)""";R;;;16:07;;Y;
"""KO"", ""ST"", 1, ""(2)""";R;;16:24;;Katowice;;5
"""Bry-KO"", ""PODG+Sem(ST)"", 2, ""1"", ""(1)""";R;;;;;;
"""Bry"", ""PODG"", 2, ""1"", ""(1)""";R;;;;;;
"""KL-Bry-2"", ""SBL+Sem(PODG)"", 2, ""2"", ""(2)""";IC;;;;;;
"""KL-Bry-1"", ""SBL"", 2, ""1"", ""(2)""";R;;;;;;
"""KL"", ""ST"", 1, ""(2)""";R;16:30;16:30;;Katowice Ligota;;
"""Mc-KL-5"", ""SBL+Sem(ST)"", 2, ""5"", ""(5)""";R;16:33;16:33;;Katowice Piotrowice;;
"""Mc-KL-4"", ""SBL"", 2, ""4"", ""(5)""";R;;;;;;
"""Mc-KL-3"", ""SBL"", 2, ""3"", ""(5)""";R;;;;;;
"""Mc-KL-2"", ""SBL+PO(Podlesie)"", 2, ""2"", ""(5)""";IC;;;;;;
"""Mc-KL-1"", ""SBL"", 2, ""1"", ""(5)""";R;;;;;;
"""Mc"", ""PODG"", 2, ""(N/A)""";R;;;;;;
"""Ty-Mc"", ""Sem(odstep)"", 2, ""1"", ""(1)""";R;;;;;;
"""Ty"", ""ST"", 102, ""(N/A)""";R;;;;;;
"""Ty"", ""ST"", 1, ""(2)""";R;16:39;16:41;;Tychy;;
"""Ty-Kob-1"", ""SBL"", 1, ""1"", ""(6)""";R;;;;;;
to Żywiec;;;;;;;
####;;;;;;;
KS - Os;;;;;;;
40673;;;;;;;
S1;;;;;;;
from Czestochowa;;;;;;;
"""SG-KZ"", ""SBL"", 1, ""3"", ""(3)""";R;;;;;;
"""KZ"", ""ST"", 1, ""(1)""";R;16:14;16:14;;Katowice Zawodzie;;
"""KZ-KO"", ""SBL+Sem(ST)"", 1, ""1"", ""(1)""";R;;;;;;
"""KO"", ""ST"", 117, ""(N/A)""";R;;;;;;
"""KO"", ""ST"", 7, ""(1)""";R;16:18;16:30;;Katowice;;
"""KO-KTC-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KO-KTC-2"", ""SBL+POGP"", 1, ""2"", ""(2)""";R;16:33;16:33;;Katowice Załęże;;
"""KTC-CB-1"", ""SBL"", 1, ""1"", ""(2)""";R;;;;;;
"""KTC-CB-2"", ""SBL+Sem(ST)"", 1, ""2"", ""(2)""";R;;;;;;
"""CB"", ""ST"", 1, ""(1)""";R;16:36;16:36;;Chorzów Batory;;
"""CB-RCB-1"", ""SBL"", 1, ""1"", ""(3)""";R;;;;;;
"""CB-RCB-2"", ""SBL+PO(Świętochłowice)"", 1, ""2"", ""(3)""";R;16:39;16:39;;Świętochłowice;;
"""CB-RCB-3"", ""SBL+Sem(ST)"", 1, ""3"", ""(3)""";R;;;;;;
"""RCB"", ""ST"", 1, ""(1)""";R;16:43;16:43;;Ruda Chebzie;;
"""RCB-ZZ-1"", ""SBL"", 1, ""1"", ""(4)""";R;;;;;;
"""RCB-ZZ-2"", ""SBL+PO(Ruda Śląska)"", 1, ""2"", ""(4)""";R;16:45;16:45;;Ruda Śląska;;
"""RCB-ZZ-3"", ""SBL"", 1, ""3"", ""(4)""";R;;;;;;
"""RCB-ZZ-4"", ""SBL+Sem(ST)"", 1, ""4"", ""(4)""";R;;;;;;
"""ZZ"", ""ST"", 1, ""(1)""";R;16:50;16:50;;Zabrze;;
"""ZZ-GLC-1"", ""SBL"", 1, ""1"", ""(5)""";R;;;;;;
"""ZZ-GLC-2"", ""SBL"", 1, ""2"", ""(5)""";R;;;;;;
